Area,Year,Population,Data quality rating,Data quality,Type of primary data,Data footnote,Modifications,Modification footnote,Source of gapminder
Lesotho,2000,"2,037,961",,NA,NA,,NA,,Maddison on-line
Lesotho,2001,"2,044,848",,NA,NA,,NA,,Maddison on-line
Lesotho,2002,"2,046,772",,NA,NA,,NA,,Maddison on-line
Lesotho,2003,"2,044,530",,NA,NA,,NA,,Maddison on-line
Lesotho,2004,"2,039,070",,NA,NA,,NA,,Maddison on-line
Lesotho,2005,"2,031,348",,NA,NA,,NA,,Maddison on-line
Lesotho,2006,"2,022,331",,NA,NA,,NA,,Maddison on-line
Lesotho,2007,"2,012,649",,NA,NA,,NA,,Maddison on-line
Lesotho,2008,"2,002,749",,NA,NA,,Temporal extrapolation,,Maddison on-line
Lesotho,2030,"1,725,502",,NA,NA,,Temporal extrapolation,,Maddison on-line
Liberia,1800,"313,543",5,Very poor,Arbitrary guess,,,,No data
Liberia,1820,"313,543",5,Very poor,NA,,Geographical interpolation,"Very rough (more than 50 years, involving many countries and some arbitrary assumptions)",Maddison on-line
Liberia,1950,"823,885",,NA,NA,,NA,,Maddison on-line
Liberia,1951,"843,231",,NA,NA,,NA,,Maddison on-line
Liberia,1952,"863,308",,NA,NA,,NA,,Maddison on-line
Liberia,1953,"884,145",,NA,NA,,NA,,Maddison on-line
Liberia,1954,"905,784",,NA,NA,,NA,,Maddison on-line
Liberia,1955,"928,269",,NA,NA,,NA,,Maddison on-line
Liberia,1956,"951,644",,NA,NA,,NA,,Maddison on-line
Liberia,1957,"975,950",,NA,NA,,NA,,Maddison on-line
Liberia,1958,"1,001,227",,NA,NA,,NA,,Maddison on-line
Liberia,1959,"1,027,507",,NA,NA,,NA,,Maddison on-line
Liberia,1960,"1,054,837",,NA,NA,,NA,,Maddison on-line
Liberia,1961,"1,083,250",,NA,NA,,NA,,Maddison on-line
Liberia,1962,"1,112,796",,NA,NA,,NA,,Maddison on-line
Liberia,1963,"1,143,525",,NA,NA,,NA,,Maddison on-line
Liberia,1964,"1,175,491",,NA,NA,,NA,,Maddison on-line
Liberia,1965,"1,208,749",,NA,NA,,NA,,Maddison on-line
Liberia,1966,"1,243,371",,NA,NA,,NA,,Maddison on-line
Liberia,1967,"1,279,406",,NA,NA,,NA,,Maddison on-line
Liberia,1968,"1,316,907",,NA,NA,,NA,,Maddison on-line
Liberia,1969,"1,355,941",,NA,NA,,NA,,Maddison on-line
Liberia,1970,"1,396,565",,NA,NA,,NA,,Maddison on-line
Liberia,1971,"1,438,780",,NA,NA,,NA,,Maddison on-line
Liberia,1972,"1,482,628",,NA,NA,,NA,,Maddison on-line
Liberia,1973,"1,528,162",,NA,NA,,NA,,Maddison on-line
Liberia,1974,"1,575,442",,NA,NA,,NA,,Maddison on-line
Liberia,1975,"1,616,410",,NA,NA,,NA,,Maddison on-line
Liberia,1976,"1,659,105",,NA,NA,,NA,,Maddison on-line
Liberia,1977,"1,703,617",,NA,NA,,NA,,Maddison on-line
Liberia,1978,"1,750,011",,NA,NA,,NA,,Maddison on-line
Liberia,1979,"1,798,417",,NA,NA,,NA,,Maddison on-line
Liberia,1980,"1,848,979",,NA,NA,,NA,,Maddison on-line
Liberia,1981,"1,901,768",,NA,NA,,NA,,Maddison on-line
Liberia,1982,"1,956,875",,NA,NA,,NA,,Maddison on-line
Liberia,1983,"2,014,375",,NA,NA,,NA,,Maddison on-line
Liberia,1984,"2,074,333",,NA,NA,,NA,,Maddison on-line
Liberia,1985,"2,136,793",,NA,NA,,NA,,Maddison on-line
Liberia,1986,"2,201,806",,NA,NA,,NA,,Maddison on-line
Liberia,1987,"2,269,414",,NA,NA,,NA,,Maddison on-line
Liberia,1988,"2,339,630",,NA,NA,,NA,,Maddison on-line
Liberia,1989,"2,412,315",,NA,NA,,NA,,Maddison on-line
Liberia,1990,"2,116,666",,NA,NA,,NA,,Maddison on-line
Liberia,1991,"1,816,959",,NA,NA,,NA,,Maddison on-line
Liberia,1992,"1,912,974",,NA,NA,,NA,,Maddison on-line
Liberia,1993,"1,989,395",,NA,NA,,NA,,Maddison on-line
Liberia,1994,"1,973,706",,NA,NA,,NA,,Maddison on-line
Liberia,1995,"1,974,588",,NA,NA,,NA,,Maddison on-line
Liberia,1996,"2,024,800",,NA,NA,,NA,,Maddison on-line
Liberia,1997,"2,200,725",,NA,NA,,NA,,Maddison on-line
Liberia,1998,"2,455,238",,NA,NA,,NA,,Maddison on-line
Liberia,1999,"2,597,815",,NA,NA,,NA,,Maddison on-line
Liberia,2000,"2,693,780",,NA,NA,,NA,,Maddison on-line
Liberia,2001,"2,758,041",,NA,NA,,NA,,Maddison on-line
Liberia,2002,"2,814,651",,NA,NA,,NA,,Maddison on-line
Liberia,2003,"2,809,784",,NA,NA,,NA,,Maddison on-line
Liberia,2004,"2,807,259",,NA,NA,,NA,,Maddison on-line
Liberia,2005,"2,900,269",,NA,NA,,NA,,Maddison on-line
Liberia,2006,"3,042,004",,NA,NA,,NA,,Maddison on-line
Liberia,2007,"3,193,942",,NA,NA,,NA,,Maddison on-line
Liberia,2008,"3,332,483",,NA,NA,,Temporal extrapolation,,Maddison on-line
Liberia,2030,"5,195,956",,NA,NA,,Temporal extrapolation,,Maddison on-line
Libya,1600,"500,000",,NA,NA,,NA,,Maddison on-line
Libya,1700,"500,000",,NA,NA,,NA,,Maddison on-line
Libya,1820,"538,000",,NA,NA,,NA,,Maddison on-line
Libya,1950,"961,305",,NA,NA,,NA,,Maddison on-line
Libya,1951,"989,591",,NA,NA,,NA,,Maddison on-line
Libya,1952,"1,019,729",,NA,NA,,NA,,Maddison on-line
Libya,1953,"1,051,835",,NA,NA,,NA,,Maddison on-line
Libya,1954,"1,086,038",,NA,NA,,NA,,Maddison on-line
Libya,1955,"1,122,475",,NA,NA,,NA,,Maddison on-line
Libya,1956,"1,160,947",,NA,NA,,NA,,Maddison on-line
Libya,1957,"1,201,578",,NA,NA,,NA,,Maddison on-line
Libya,1958,"1,244,627",,NA,NA,,NA,,Maddison on-line
Libya,1959,"1,290,121",,NA,NA,,NA,,Maddison on-line
Libya,1960,"1,337,947",,NA,NA,,NA,,Maddison on-line
Libya,1961,"1,388,517",,NA,NA,,NA,,Maddison on-line
Libya,1962,"1,441,863",,NA,NA,,NA,,Maddison on-line
Libya,1963,"1,498,607",,NA,NA,,NA,,Maddison on-line
Libya,1964,"1,560,361",,NA,NA,,NA,,Maddison on-line
Libya,1965,"1,623,770",,NA,NA,,NA,,Maddison on-line
Libya,1966,"1,693,925",,NA,NA,,NA,,Maddison on-line
Libya,1967,"1,759,224",,NA,NA,,NA,,Maddison on-line
Libya,1968,"1,833,726",,NA,NA,,NA,,Maddison on-line
Libya,1969,"1,922,974",,NA,NA,,NA,,Maddison on-line
Libya,1970,"1,999,162",,NA,NA,,NA,,Maddison on-line
Libya,1971,"2,077,381",,NA,NA,,NA,,Maddison on-line
Libya,1972,"2,183,877",,NA,NA,,NA,,Maddison on-line
Libya,1973,"2,312,369",,NA,NA,,NA,,Maddison on-line
Libya,1974,"2,451,375",,NA,NA,,NA,,Maddison on-line
Libya,1975,"2,569,606",,NA,NA,,NA,,Maddison on-line
Libya,1976,"2,666,160",,NA,NA,,NA,,Maddison on-line
Libya,1977,"2,721,783",,NA,NA,,NA,,Maddison on-line
Libya,1978,"2,796,747",,NA,NA,,NA,,Maddison on-line
Libya,1979,"2,928,575",,NA,NA,,NA,,Maddison on-line
Libya,1980,"3,065,365",,NA,NA,,NA,,Maddison on-line
Libya,1981,"3,204,071",,NA,NA,,NA,,Maddison on-line
Libya,1982,"3,344,074",,NA,NA,,NA,,Maddison on-line
Libya,1983,"3,484,531",,NA,NA,,NA,,Maddison on-line
Libya,1984,"3,624,920",,NA,NA,,NA,,Maddison on-line
Libya,1985,"3,675,422",,NA,NA,,NA,,Maddison on-line
Libya,1986,"3,699,538",,NA,NA,,NA,,Maddison on-line
Libya,1987,"3,799,845",,NA,NA,,NA,,Maddison on-line
Libya,1988,"3,913,314",,NA,NA,,NA,,Maddison on-line
Libya,1989,"4,026,847",,NA,NA,,NA,,Maddison on-line
Libya,1990,"4,139,825",,NA,NA,,NA,,Maddison on-line
Libya,1991,"4,252,354",,NA,NA,,NA,,Maddison on-line
Libya,1992,"4,364,501",,NA,NA,,NA,,Maddison on-line
Libya,1993,"4,475,679",,NA,NA,,NA,,Maddison on-line
Libya,1994,"4,585,017",,NA,NA,,NA,,Maddison on-line
Libya,1995,"4,654,252",,NA,NA,,NA,,Maddison on-line
Libya,1996,"4,686,329",,NA,NA,,NA,,Maddison on-line
Libya,1997,"4,759,670",,NA,NA,,NA,,Maddison on-line
Libya,1998,"4,874,638",,NA,NA,,NA,,Maddison on-line
Libya,1999,"4,993,414",,NA,NA,,NA,,Maddison on-line
Libya,2000,"5,115,450",,NA,NA,,NA,,Maddison on-line
Libya,2001,"5,240,599",,NA,NA,,NA,,Maddison on-line
Libya,2002,"5,368,585",,NA,NA,,NA,,Maddison on-line
Libya,2003,"5,499,074",,NA,NA,,NA,,Maddison on-line
Libya,2004,"5,631,585",,NA,NA,,NA,,Maddison on-line
Libya,2005,"5,765,563",,NA,NA,,NA,,Maddison on-line
Libya,2006,"5,900,754",,NA,NA,,NA,,Maddison on-line
Libya,2007,"6,036,914",,NA,NA,,NA,,Maddison on-line
Libya,2008,"6,173,579",,NA,NA,,Temporal extrapolation,,Maddison on-line
Libya,2030,"8,879,850",,NA,NA,,Temporal extrapolation,,Maddison on-line
Liechtenstein,1800,"5,802",5,Very poor,Arbitrary guess,,,,No data
Liechtenstein,1820,"5,802",5,Very poor,NA,,Geographical extrapolation,"Very rough (more than 50 years, in several steps)",Maddison on-line
Liechtenstein,1950,"13,500",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1951,"14,000",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1952,"13,900",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1953,"14,050",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1954,"14,400",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1955,"14,700",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1956,"15,000",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1957,"15,200",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1958,"15,450",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1959,"15,900",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1960,"16,426",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1961,"16,825",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1962,"17,295",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1963,"17,844",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1964,"18,391",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1965,"18,721",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1966,"19,066",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1967,"19,446",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1968,"19,965",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1969,"20,526",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1970,"21,103",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1971,"21,788",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1972,"22,240",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1973,"22,864",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1974,"23,330",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1975,"23,413",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1976,"23,514",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1977,"23,927",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1978,"24,412",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1979,"24,741",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1980,"25,074",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1981,"25,672",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1982,"26,255",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1983,"26,446",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1984,"26,597",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1985,"26,879",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1986,"27,238",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1987,"27,546",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1988,"27,825",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1989,"28,074",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1990,"28,796",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1991,"29,288",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1992,"29,706",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1993,"30,168",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1994,"30,549",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1995,"30,855",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1996,"31,112",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1997,"31,296",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1998,"31,539",,NA,NA,,NA,,Maddison on-line
Liechtenstein,1999,"31,874",,NA,NA,,NA,,Maddison on-line
Liechtenstein,2000,"32,204",,NA,NA,,NA,,Maddison on-line
Liechtenstein,2001,"32,528",,NA,NA,,NA,,Maddison on-line
Liechtenstein,2002,"32,842",,NA,NA,,NA,,Maddison on-line
Liechtenstein,2003,"33,145",,NA,NA,,NA,,Maddison on-line
Liechtenstein,2004,"33,436",,NA,NA,,NA,,Maddison on-line
Liechtenstein,2005,"33,717",,NA,NA,,NA,,Maddison on-line
Liechtenstein,2006,"33,987",,NA,NA,,NA,,Maddison on-line
Liechtenstein,2007,"34,247",,NA,NA,,NA,,Maddison on-line
Liechtenstein,2008,"34,498",,NA,NA,,Temporal extrapolation,,Maddison on-line
Liechtenstein,2030,"37,844",,NA,NA,,Temporal extrapolation,,Maddison on-line
Lithuania,1800,"778,655",5,Very poor,Arbitrary guess,,,,No data
Lithuania,1820,"778,655",,NA,NA,,Geographical interpolation,Very rough (more than 50 years),Maddison on-line
Lithuania,1950,"2,553,159",,NA,NA,,NA,,Maddison on-line
Lithuania,1951,"2,561,579",,NA,NA,,NA,,Maddison on-line
Lithuania,1952,"2,583,984",,NA,NA,,NA,,Maddison on-line
Lithuania,1953,"2,593,918",,NA,NA,,NA,,Maddison on-line
Lithuania,1954,"2,597,435",,NA,NA,,NA,,Maddison on-line
Lithuania,1955,"2,614,336",,NA,NA,,NA,,Maddison on-line
Lithuania,1956,"2,641,167",,NA,NA,,NA,,Maddison on-line
Lithuania,1957,"2,651,630",,NA,NA,,NA,,Maddison on-line
Lithuania,1958,"2,672,229",,NA,NA,,NA,,Maddison on-line
Lithuania,1959,"2,717,677",,NA,NA,,NA,,Maddison on-line
Lithuania,1960,"2,764,864",,NA,NA,,NA,,Maddison on-line
Lithuania,1961,"2,810,271",,NA,NA,,NA,,Maddison on-line
Lithuania,1962,"2,850,220",,NA,NA,,NA,,Maddison on-line
Lithuania,1963,"2,886,180",,NA,NA,,NA,,Maddison on-line
Lithuania,1964,"2,922,673",,NA,NA,,NA,,Maddison on-line
Lithuania,1965,"2,959,173",,NA,NA,,NA,,Maddison on-line
Lithuania,1966,"2,996,683",,NA,NA,,NA,,Maddison on-line
Lithuania,1967,"3,033,728",,NA,NA,,NA,,Maddison on-line
Lithuania,1968,"3,068,801",,NA,NA,,NA,,Maddison on-line
Lithuania,1969,"3,101,819",,NA,NA,,NA,,Maddison on-line
Lithuania,1970,"3,137,562",,NA,NA,,NA,,Maddison on-line
Lithuania,1971,"3,177,533",,NA,NA,,NA,,Maddison on-line
Lithuania,1972,"3,213,271",,NA,NA,,NA,,Maddison on-line
Lithuania,1973,"3,245,551",,NA,NA,,NA,,Maddison on-line
Lithuania,1974,"3,276,362",,NA,NA,,NA,,Maddison on-line
Lithuania,1975,"3,305,195",,NA,NA,,NA,,Maddison on-line
Lithuania,1976,"3,333,542",,NA,NA,,NA,,Maddison on-line
Lithuania,1977,"3,361,419",,NA,NA,,NA,,Maddison on-line
Lithuania,1978,"3,386,988",,NA,NA,,NA,,Maddison on-line
Lithuania,1979,"3,410,869",,NA,NA,,NA,,Maddison on-line
Lithuania,1980,"3,435,289",,NA,NA,,NA,,Maddison on-line
Lithuania,1981,"3,462,341",,NA,NA,,NA,,Maddison on-line
Lithuania,1982,"3,491,974",,NA,NA,,NA,,Maddison on-line
Lithuania,1983,"3,523,380",,NA,NA,,NA,,Maddison on-line
Lithuania,1984,"3,555,054",,NA,NA,,NA,,Maddison on-line
Lithuania,1985,"3,587,032",,NA,NA,,NA,,Maddison on-line
Lithuania,1986,"3,619,593",,NA,NA,,NA,,Maddison on-line
Lithuania,1987,"3,653,339",,NA,NA,,NA,,Maddison on-line
Lithuania,1988,"3,673,950",,NA,NA,,NA,,Maddison on-line
Lithuania,1989,"3,681,250",,NA,NA,,NA,,Maddison on-line
Lithuania,1990,"3,694,836",,NA,NA,,NA,,Maddison on-line
Lithuania,1991,"3,702,136",,NA,NA,,NA,,Maddison on-line
Lithuania,1992,"3,700,278",,NA,NA,,NA,,Maddison on-line
Lithuania,1993,"3,689,004",,NA,NA,,NA,,Maddison on-line
Lithuania,1994,"3,679,636",,NA,NA,,NA,,Maddison on-line
Lithuania,1995,"3,673,577",,NA,NA,,NA,,Maddison on-line
Lithuania,1996,"3,668,316",,NA,NA,,NA,,Maddison on-line
Lithuania,1997,"3,664,372",,NA,NA,,NA,,Maddison on-line
Lithuania,1998,"3,661,168",,NA,NA,,NA,,Maddison on-line
Lithuania,1999,"3,658,454",,NA,NA,,NA,,Maddison on-line
Lithuania,2000,"3,654,387",,NA,NA,,NA,,Maddison on-line
Lithuania,2001,"3,645,747",,NA,NA,,NA,,Maddison on-line
Lithuania,2002,"3,633,232",,NA,NA,,NA,,Maddison on-line
Lithuania,2003,"3,620,094",,NA,NA,,NA,,Maddison on-line
Lithuania,2004,"3,607,899",,NA,NA,,NA,,Maddison on-line
Lithuania,2005,"3,596,617",,NA,NA,,NA,,Maddison on-line
Lithuania,2006,"3,585,906",,NA,NA,,NA,,Maddison on-line
Lithuania,2007,"3,575,439",,NA,NA,,NA,,Maddison on-line
Lithuania,2008,"3,565,205",,NA,NA,,Temporal extrapolation,,Maddison on-line
Lithuania,2030,"3,257,214",,NA,NA,,Temporal extrapolation,,Maddison on-line
Luxembourg,1800,"127,030",5,Very poor,Arbitrary guess,,,,No data
Luxembourg,1820,"127,030",5,Very poor,NA,,Geographical extrapolation,"Very rough (more than 50 years, in several steps)",Maddison on-line
Luxembourg,1950,"295,587",,NA,NA,,NA,,Maddison on-line
Luxembourg,1951,"297,425",,NA,NA,,NA,,Maddison on-line
Luxembourg,1952,"299,263",,NA,NA,,NA,,Maddison on-line
Luxembourg,1953,"301,101",,NA,NA,,NA,,Maddison on-line
Luxembourg,1954,"302,939",,NA,NA,,NA,,Maddison on-line
Luxembourg,1955,"304,777",,NA,NA,,NA,,Maddison on-line
Luxembourg,1956,"306,615",,NA,NA,,NA,,Maddison on-line
Luxembourg,1957,"308,453",,NA,NA,,NA,,Maddison on-line
Luxembourg,1958,"310,291",,NA,NA,,NA,,Maddison on-line
Luxembourg,1959,"312,129",,NA,NA,,NA,,Maddison on-line
Luxembourg,1960,"313,969",,NA,NA,,NA,,Maddison on-line
Luxembourg,1961,"316,845",,NA,NA,,NA,,Maddison on-line
Luxembourg,1962,"320,750",,NA,NA,,NA,,Maddison on-line
Luxembourg,1963,"324,100",,NA,NA,,NA,,Maddison on-line
Luxembourg,1964,"327,750",,NA,NA,,NA,,Maddison on-line
Luxembourg,1965,"331,500",,NA,NA,,NA,,Maddison on-line
Luxembourg,1966,"333,895",,NA,NA,,NA,,Maddison on-line
Luxembourg,1967,"335,012",,NA,NA,,NA,,Maddison on-line
Luxembourg,1968,"335,867",,NA,NA,,NA,,Maddison on-line
Luxembourg,1969,"337,500",,NA,NA,,NA,,Maddison on-line
Luxembourg,1970,"339,174",,NA,NA,,NA,,Maddison on-line
Luxembourg,1971,"342,400",,NA,NA,,NA,,Maddison on-line
Luxembourg,1972,"346,600",,NA,NA,,NA,,Maddison on-line
Luxembourg,1973,"350,450",,NA,NA,,NA,,Maddison on-line
Luxembourg,1974,"355,050",,NA,NA,,NA,,Maddison on-line
Luxembourg,1975,"358,950",,NA,NA,,NA,,Maddison on-line
Luxembourg,1976,"360,750",,NA,NA,,NA,,Maddison on-line
Luxembourg,1977,"361,450",,NA,NA,,NA,,Maddison on-line
Luxembourg,1978,"362,100",,NA,NA,,NA,,Maddison on-line
Luxembourg,1979,"363,000",,NA,NA,,NA,,Maddison on-line
Luxembourg,1980,"364,400",,NA,NA,,NA,,Maddison on-line
Luxembourg,1981,"365,400",,NA,NA,,NA,,Maddison on-line
Luxembourg,1982,"365,718",,NA,NA,,NA,,Maddison on-line
Luxembourg,1983,"365,885",,NA,NA,,NA,,Maddison on-line
Luxembourg,1984,"366,272",,NA,NA,,NA,,Maddison on-line
Luxembourg,1985,"367,169",,NA,NA,,NA,,Maddison on-line
Luxembourg,1986,"369,019",,NA,NA,,NA,,Maddison on-line
Luxembourg,1987,"371,660",,NA,NA,,NA,,Maddison on-line
Luxembourg,1988,"375,624",,NA,NA,,NA,,Maddison on-line
Luxembourg,1989,"377,621",,NA,NA,,NA,,Maddison on-line
Luxembourg,1990,"382,966",,NA,NA,,NA,,Maddison on-line
Luxembourg,1991,"387,152",,NA,NA,,NA,,Maddison on-line
Luxembourg,1992,"392,552",,NA,NA,,NA,,Maddison on-line
Luxembourg,1993,"398,084",,NA,NA,,NA,,Maddison on-line
Luxembourg,1994,"403,756",,NA,NA,,NA,,Maddison on-line
Luxembourg,1995,"409,704",,NA,NA,,NA,,Maddison on-line
Luxembourg,1996,"415,566",,NA,NA,,NA,,Maddison on-line
Luxembourg,1997,"421,014",,NA,NA,,NA,,Maddison on-line
Luxembourg,1998,"426,495",,NA,NA,,NA,,Maddison on-line
Luxembourg,1999,"432,527",,NA,NA,,NA,,Maddison on-line
Luxembourg,2000,"438,777",,NA,NA,,NA,,Maddison on-line
Luxembourg,2001,"444,779",,NA,NA,,NA,,Maddison on-line
Luxembourg,2002,"450,786",,NA,NA,,NA,,Maddison on-line
Luxembourg,2003,"456,764",,NA,NA,,NA,,Maddison on-line
Luxembourg,2004,"462,690",,NA,NA,,NA,,Maddison on-line
Luxembourg,2005,"468,571",,NA,NA,,NA,,Maddison on-line
Luxembourg,2006,"474,413",,NA,NA,,NA,,Maddison on-line
Luxembourg,2007,"480,222",,NA,NA,,NA,,Maddison on-line
Luxembourg,2008,"486,006",,NA,NA,,Temporal extrapolation,,Maddison on-line
Luxembourg,2030,"615,959",,NA,NA,,Temporal extrapolation,,Maddison on-line
"Macao, China",1555,400,,NA,NA,,NA,,National population and family planning commission of China
"Macao, China",1640,"40,000",,NA,NA,,NA,,National population and family planning commission of China
"Macao, China",1743,"5,500",,NA,NA,,NA,,National population and family planning commission of China
"Macao, China",1835,"35,000",,NA,NA,,NA,,National population and family planning commission of China
"Macao, China",1839,"13,000",,NA,NA,,NA,,National population and family planning commission of China
"Macao, China",1860,"85,000",,NA,NA,,NA,,National population and family planning commission of China
"Macao, China",1900,"64,000",2,Good,Census or equivalent,,None,,Mitchell (1998 a)
"Macao, China",1910,"76,000",2,Good,Census or equivalent,,None,,Mitchell (1998 a)
"Macao, China",1920,"84,000",2,Good,Census or equivalent,,None,,Mitchell (1998 a)
"Macao, China",1927,"157,000",2,Good,Census or equivalent,,None,,Mitchell (1998 a)
"Macao, China",1937,"170,000",,NA,NA,,NA,,National population and family planning commission of China
"Macao, China",1940,"375,000",2,Good,Census or equivalent,,None,,Mitchell (1998 a)
"Macao, China",1950,"205,442",,NA,NA,,NA,,Maddison on-line
"Macao, China",1951,"202,367",,NA,NA,,NA,,Maddison on-line
"Macao, China",1952,"199,489",,NA,NA,,NA,,Maddison on-line
"Macao, China",1953,"196,948",,NA,NA,,NA,,Maddison on-line
"Macao, China",1954,"194,893",,NA,NA,,NA,,Maddison on-line
"Macao, China",1955,"192,684",,NA,NA,,NA,,Maddison on-line
"Macao, China",1956,"190,465",,NA,NA,,NA,,Maddison on-line
"Macao, China",1957,"189,390",,NA,NA,,NA,,Maddison on-line
"Macao, China",1958,"188,751",,NA,NA,,NA,,Maddison on-line
"Macao, China",1959,"187,499",,NA,NA,,NA,,Maddison on-line
"Macao, China",1960,"186,053",,NA,NA,,NA,,Maddison on-line
"Macao, China",1961,"189,831",,NA,NA,,NA,,Maddison on-line
"Macao, China",1962,"198,464",,NA,NA,,NA,,Maddison on-line
"Macao, China",1963,"206,989",,NA,NA,,NA,,Maddison on-line
"Macao, China",1964,"215,496",,NA,NA,,NA,,Maddison on-line
"Macao, China",1965,"223,820",,NA,NA,,NA,,Maddison on-line
"Macao, China",1966,"231,905",,NA,NA,,NA,,Maddison on-line
"Macao, China",1967,"239,773",,NA,NA,,NA,,Maddison on-line
"Macao, China",1968,"247,282",,NA,NA,,NA,,Maddison on-line
"Macao, China",1969,"254,436",,NA,NA,,NA,,Maddison on-line
"Macao, China",1970,"261,369",,NA,NA,,NA,,Maddison on-line
"Macao, China",1971,"263,565",,NA,NA,,NA,,Maddison on-line
"Macao, China",1972,"261,202",,NA,NA,,NA,,Maddison on-line
"Macao, China",1973,"258,929",,NA,NA,,NA,,Maddison on-line
"Macao, China",1974,"256,653",,NA,NA,,NA,,Maddison on-line
"Macao, China",1975,"254,331",,NA,NA,,NA,,Maddison on-line
"Macao, China",1976,"251,775",,NA,NA,,NA,,Maddison on-line
"Macao, China",1977,"249,116",,NA,NA,,NA,,Maddison on-line
"Macao, China",1978,"248,564",,NA,NA,,NA,,Maddison on-line
"Macao, China",1979,"251,368",,NA,NA,,NA,,Maddison on-line
"Macao, China",1980,"255,773",,NA,NA,,NA,,Maddison on-line
"Macao, China",1981,"260,929",,NA,NA,,NA,,Maddison on-line
"Macao, China",1982,"270,811",,NA,NA,,NA,,Maddison on-line
"Macao, China",1983,"285,451",,NA,NA,,NA,,Maddison on-line
"Macao, China",1984,"298,982",,NA,NA,,NA,,Maddison on-line
"Macao, China",1985,"305,843",,NA,NA,,NA,,Maddison on-line
"Macao, China",1986,"312,196",,NA,NA,,NA,,Maddison on-line
"Macao, China",1987,"322,983",,NA,NA,,NA,,Maddison on-line
"Macao, China",1988,"332,136",,NA,NA,,NA,,Maddison on-line
"Macao, China",1989,"341,237",,NA,NA,,NA,,Maddison on-line
"Macao, China",1990,"351,756",,NA,NA,,NA,,Maddison on-line
"Macao, China",1991,"363,858",,NA,NA,,NA,,Maddison on-line
"Macao, China",1992,"375,382",,NA,NA,,NA,,Maddison on-line
"Macao, China",1993,"384,495",,NA,NA,,NA,,Maddison on-line
"Macao, China",1994,"393,064",,NA,NA,,NA,,Maddison on-line
"Macao, China",1995,"401,452",,NA,NA,,NA,,Maddison on-line
"Macao, China",1996,"410,597",,NA,NA,,NA,,Maddison on-line
"Macao, China",1997,"417,129",,NA,NA,,NA,,Maddison on-line
"Macao, China",1998,"421,602",,NA,NA,,NA,,Maddison on-line
"Macao, China",1999,"427,618",,NA,NA,,NA,,Maddison on-line
"Macao, China",2000,"431,338",,NA,NA,,NA,,Maddison on-line
"Macao, China",2001,"434,044",,NA,NA,,NA,,Maddison on-line
"Macao, China",2002,"437,794",,NA,NA,,NA,,Maddison on-line
"Macao, China",2003,"441,487",,NA,NA,,NA,,Maddison on-line
"Macao, China",2004,"445,286",,NA,NA,,NA,,Maddison on-line
"Macao, China",2005,"449,198",,NA,NA,,NA,,Maddison on-line
